Book_Title,Original_Book_Title,Author_Name,Edition_Language,Rating_score,Rating_votes,Review_number,Year_published,Genres,url
Alienated,Alienated,Melissa Landers,English,3.9,22136,3351,2014,"{'Young Adult': 804, 'Science Fiction': 635, 'Romance': 520, 'Science Fiction (Aliens) ': 494, 'Fantasy': 279, 'Fantasy (Paranormal) ': 145, 'Science Fiction (Dystopia) ': 68, 'Fiction': 68, 'Young Adult (High School) ': 55, 'Romance (Paranormal Romance) ': 53}",https://www.goodreads.com/book/show/13574417-alienated
Ender's Game,Ender's Game,Orson Scott Card,English,4.3,1162542,43765,1985,"{'Science Fiction': 15715, 'Fiction': 7798, 'Young Adult': 4781, 'Fantasy': 2976, 'Classics': 1947, 'Science Fiction Fantasy': 1574, 'Science Fiction (Dystopia) ': 1195, 'War': 708, 'Audiobook': 633, 'Adventure': 611}",https://www.goodreads.com/book/show/375802.Ender_s_Game
Obsession,B00CQYAWAG,Jennifer L. Armentrout,English,4.1,26310,2512,2013,"{'Fantasy (Paranormal) ': 556, 'Romance': 531, 'Science Fiction (Aliens) ': 418, 'New Adult': 366, 'Fantasy': 327, 'Romance (Paranormal Romance) ': 260, 'Science Fiction': 210, 'Adult': 207, 'Fantasy (Supernatural) ': 75, 'Fantasy (Urban Fantasy) ': 60}",https://www.goodreads.com/book/show/14060046-obsession
Ice Planet Barbarians,Ice Planet Barbarians,Ruby Dixon,English,3.85,15856,2108,2015,"{'Romance': 621, 'Science Fiction': 436, 'Science Fiction (Aliens) ': 413, 'Adult Fiction (Erotica) ': 195, 'Fantasy': 171, 'Fantasy (Paranormal) ': 156, 'Romance (Science Fiction Romance) ': 132, 'Romance (Paranormal Romance) ': 114, 'Adult': 104, 'Fiction': 49}",https://www.goodreads.com/book/show/25128811-ice-planet-barbarians
The Power of Six,The Power of Six,Pittacus Lore,English,4.15,126036,6478,2011,"{'Young Adult': 1578, 'Fantasy': 1200, 'Science Fiction': 943, 'Fiction': 405, 'Science Fiction (Aliens) ': 400, 'Adventure': 236, 'Fantasy (Paranormal) ': 224, 'Romance': 151, 'Action': 121, 'Young Adult (Teen) ': 108}",https://www.goodreads.com/book/show/8659601-the-power-of-six
The Hitchhiker's Guide to the Galaxy,The Hitchhiker's Guide to the Galaxy,Douglas Adams,English,4.22,1484282,31208,1979,"{'Science Fiction': 14431, 'Fiction': 10469, 'Humor': 5477, 'Fantasy': 4527, 'Classics': 4391, 'Humor (Comedy) ': 1842, 'Science Fiction Fantasy': 1427, 'Audiobook': 1053, 'Adventure': 870, 'Novels': 700}",https://www.goodreads.com/book/show/386162.The_Hitchhiker_s_Guide_to_the_Galaxy
Claimed,Claimed,Evangeline Anderson,English,3.77,17049,1374,2011,"{'Romance': 451, 'Science Fiction': 390, 'Science Fiction (Aliens) ': 345, 'Adult Fiction (Erotica) ': 310, 'Fantasy (Paranormal) ': 256, 'Romance (Paranormal Romance) ': 171, 'Fantasy': 157, 'Romance (Science Fiction Romance) ': 110, 'Adult': 90, 'Romance (Erotic Romance) ': 58}",https://www.goodreads.com/book/show/10439221-claimed
The Last Star,The Last Star,Rick Yancey,English,3.63,60302,6993,2016,"{'Young Adult': 1233, 'Science Fiction': 828, 'Science Fiction (Dystopia) ': 708, 'Science Fiction (Aliens) ': 310, 'Fiction': 290, 'Fantasy': 222, 'Apocalyptic (Post Apocalyptic) ': 176, 'Romance': 166, 'Audiobook': 128, 'Science Fiction (Apocalyptic) ': 89}",https://www.goodreads.com/book/show/16131489-the-last-star
The Rise of Nine,The Rise of Nine,Pittacus Lore,English,4.18,98072,4734,2012,"{'Young Adult': 1149, 'Fantasy': 867, 'Science Fiction': 715, 'Science Fiction (Aliens) ': 307, 'Fiction': 294, 'Adventure': 169, 'Fantasy (Paranormal) ': 138, 'Romance': 109, 'Action': 92, 'Young Adult (Teen) ': 89}",https://www.goodreads.com/book/show/12971616-the-rise-of-nine
Barbarian Alien,Barbarian Alien,Ruby Dixon,English,3.91,10160,1026,2015,"{'Romance': 380, 'Science Fiction': 284, 'Science Fiction (Aliens) ': 272, 'Adult Fiction (Erotica) ': 102, 'Fantasy (Paranormal) ': 98, 'Romance (Science Fiction Romance) ': 90, 'Fantasy': 90, 'Romance (Paranormal Romance) ': 74, 'Adult': 66, 'Fiction': 29}",https://www.goodreads.com/book/show/25802043-barbarian-alien
These Broken Stars,These Broken Stars,Amie Kaufman,English,3.9,64603,8478,2013,"{'Young Adult': 2202, 'Science Fiction': 2074, 'Romance': 1483, 'Fantasy': 1002, 'Science Fiction (Dystopia) ': 417, 'Fiction': 295, 'Space': 273, 'Science Fiction (Aliens) ': 263, 'Adventure': 193, 'Audiobook': 169}",https://www.goodreads.com/book/show/13138635-these-broken-stars
Cinder,Cinder,Marissa Meyer,English,4.13,711992,55678,2012,"{'Young Adult': 10971, 'Fantasy': 10029, 'Science Fiction': 6337, 'Romance': 3417, 'Science Fiction (Dystopia) ': 3218, 'Retellings': 2503, 'Fiction': 2296, 'Fantasy (Fairy Tales) ': 1513, 'Audiobook': 994, 'Young Adult (Young Adult Fantasy) ': 743}",https://www.goodreads.com/book/show/36381037-cinder
Ral's Woman,Ral's Woman,Laurann Dohner,English,3.82,12457,570,2009,"{'Science Fiction': 277, 'Romance': 256, 'Science Fiction (Aliens) ': 252, 'Adult Fiction (Erotica) ': 207, 'Fantasy (Paranormal) ': 137, 'Romance (Paranormal Romance) ': 128, 'Fantasy': 82, 'Romance (Science Fiction Romance) ': 80, 'Adult': 50, 'Romance (Erotic Romance) ': 49}",https://www.goodreads.com/book/show/7203997-ral-s-woman
The War of the Worlds,The War of the Worlds,H.G. Wells,English,3.83,251747,8237,1898,"{'Classics': 6155, 'Science Fiction': 5638, 'Fiction': 3008, 'Fantasy': 512, 'Science Fiction Fantasy': 389, 'Horror': 347, 'Literature': 326, 'Novels': 265, 'Science Fiction (Aliens) ': 249, 'Audiobook': 243}",https://www.goodreads.com/book/show/8909.The_War_of_the_Worlds
Grim,B00EW7DHBG,M.K. Eidem,English,4.13,9564,768,2013,"{'Science Fiction (Aliens) ': 244, 'Romance': 228, 'Science Fiction': 221, 'Fantasy': 93, 'Fantasy (Paranormal) ': 80, 'Romance (Science Fiction Romance) ': 70, 'Romance (Paranormal Romance) ': 52, 'Adult Fiction (Erotica) ': 42, 'Adult': 34, 'Space': 22}",https://www.goodreads.com/book/show/18468256-grim
The Fall of Five,The Fall of Five,Pittacus Lore,English,4.23,58938,3954,2013,"{'Young Adult': 790, 'Fantasy': 619, 'Science Fiction': 523, 'Science Fiction (Aliens) ': 230, 'Fiction': 221, 'Adventure': 112, 'Fantasy (Paranormal) ': 100, 'Romance': 82, 'Young Adult (Teen) ': 60, 'Action': 60}",https://www.goodreads.com/book/show/15861491-the-fall-of-five
Barbarian Lover,Barbarian Lover,Ruby Dixon,English,3.99,8264,702,2015,"{'Romance': 289, 'Science Fiction': 226, 'Science Fiction (Aliens) ': 222, 'Adult Fiction (Erotica) ': 82, 'Fantasy (Paranormal) ': 77, 'Fantasy': 70, 'Romance (Science Fiction Romance) ': 68, 'Romance (Paranormal Romance) ': 58, 'Adult': 47, 'Audiobook': 24}",https://www.goodreads.com/book/show/26185583-barbarian-lover
"The Long Way to a Small, Angry Planet","The Long Way to a Small, Angry Planet",Becky Chambers,English,4.15,80637,12511,2014,"{'Science Fiction': 4289, 'Fiction': 1326, 'LGBT': 708, 'Space (Space Opera) ': 575, 'GLBT (Queer) ': 353, 'Adult': 350, 'Space': 339, 'Fantasy': 310, 'Science Fiction Fantasy': 283, 'Audiobook': 282}",https://www.goodreads.com/book/show/22733729-the-long-way-to-a-small-angry-planet
Awaken Me Darkly,Awaken Me Darkly,Gena Showalter,English,3.89,11516,577,2005,"{'Romance (Paranormal Romance) ': 391, 'Romance': 307, 'Fantasy (Paranormal) ': 299, 'Science Fiction (Aliens) ': 213, 'Fantasy': 134, 'Science Fiction': 134, 'Fantasy (Urban Fantasy) ': 98, 'Adult': 61, 'Futuristic': 37, 'Fiction': 36}",https://www.goodreads.com/book/show/476492.Awaken_Me_Darkly
Barbarian Mine,Barbarian Mine,Ruby Dixon,English,4.06,7838,628,2015,"{'Romance': 258, 'Science Fiction (Aliens) ': 212, 'Science Fiction': 198, 'Adult Fiction (Erotica) ': 82, 'Fantasy (Paranormal) ': 70, 'Romance (Science Fiction Romance) ': 63, 'Fantasy': 62, 'Romance (Paranormal Romance) ': 48, 'Adult': 38, 'Audiobook': 21}",https://www.goodreads.com/book/show/26570784-barbarian-mine
Gravity,Gravity,Melissa  West,English,3.79,8301,807,2012,"{'Young Adult': 318, 'Science Fiction': 247, 'Science Fiction (Dystopia) ': 211, 'Science Fiction (Aliens) ': 210, 'Romance': 141, 'Fantasy': 93, 'Fantasy (Paranormal) ': 59, 'Futuristic': 28, 'Romance (Paranormal Romance) ': 27, 'Space': 25}",https://www.goodreads.com/book/show/12844575-gravity
The Last Hour of Gann,The Last Hour of Gann,R. Lee Smith,English,4.09,5474,1010,2013,"{'Science Fiction': 308, 'Romance': 232, 'Science Fiction (Aliens) ': 203, 'Fantasy': 127, 'Dark': 104, 'Romance (Science Fiction Romance) ': 48, 'Adult Fiction (Erotica) ': 45, 'Adult': 43, 'Fantasy (Paranormal) ': 40, 'Horror': 36}",https://www.goodreads.com/book/show/18589656-the-last-hour-of-gann
Stolen by an Alien,"Abducted, Auctioned, & Stolen by an Alien",Amanda Milo,English,4.02,5788,686,2017,"{'Science Fiction (Aliens) ': 194, 'Romance': 171, 'Science Fiction': 161, 'Fantasy': 45, 'Fantasy (Paranormal) ': 39, 'Romance (Science Fiction Romance) ': 39, 'Romance (Paranormal Romance) ': 28, 'Adult': 28, 'Adult Fiction (Erotica) ': 25, 'New Adult': 21}",https://www.goodreads.com/book/show/36050260-stolen-by-an-alien
Scarlet,Scarlet,Marissa Meyer,English,4.27,325646,31239,2013,"{'Young Adult': 7276, 'Fantasy': 6744, 'Science Fiction': 4233, 'Romance': 2473, 'Science Fiction (Dystopia) ': 2034, 'Retellings': 1906, 'Fiction': 1341, 'Fantasy (Fairy Tales) ': 1072, 'Audiobook': 754, 'Adventure': 600}",https://www.goodreads.com/book/show/13206760-scarlet
The Three-Body Problem,??,Liu Cixin,English,4.06,161935,16091,2006,"{'Science Fiction': 5065, 'Fiction': 2956, 'Cultural (China) ': 533, 'Science Fiction Fantasy': 367, 'Audiobook': 282, 'Fantasy': 263, 'Science Fiction (Aliens) ': 192, 'Novels': 169, 'Speculative Fiction': 155, 'Cultural (Asia) ': 149}",https://www.goodreads.com/book/show/20518872-the-three-body-problem
Clean Sweep,Clean Sweep,Ilona Andrews,English,4.14,41448,3211,2013,"{'Fantasy (Urban Fantasy) ': 1733, 'Fantasy': 1728, 'Fantasy (Paranormal) ': 823, 'Paranormal (Vampires) ': 579, 'Fantasy (Magic) ': 525, 'Romance': 450, 'Science Fiction': 405, 'Shapeshifters (Werewolves) ': 234, 'Romance (Paranormal Romance) ': 225, 'Science Fiction (Aliens) ': 188}",https://www.goodreads.com/book/show/19090384-clean-sweep
Accidental Abduction,Accidental Abduction,Eve Langlais,English,3.79,7052,518,2011,"{'Science Fiction': 208, 'Romance': 199, 'Science Fiction (Aliens) ': 187, 'Fantasy (Paranormal) ': 77, 'Romance (Paranormal Romance) ': 58, 'Adult Fiction (Erotica) ': 54, 'Fantasy': 53, 'Romance (Science Fiction Romance) ': 51, 'Adult': 41, 'Humor': 33}",https://www.goodreads.com/book/show/11329789-accidental-abduction
Oblivion,English,Jennifer L. Armentrout,English,4.37,15247,1656,2015,"{'Young Adult': 284, 'Romance': 245, 'Fantasy': 229, 'Fantasy (Paranormal) ': 217, 'Science Fiction (Aliens) ': 184, 'Science Fiction': 120, 'Romance (Paranormal Romance) ': 73, 'Fantasy (Urban Fantasy) ': 36, 'Fiction': 33, 'Fantasy (Supernatural) ': 31}",https://www.goodreads.com/book/show/26529699-oblivion
Sleeping Giants,Sleeping Giants,Sylvain Neuvel,English,3.83,72671,10405,2016,"{'Science Fiction': 3125, 'Fiction': 1207, 'Fantasy': 746, 'Audiobook': 486, 'Adult': 393, 'Science Fiction Fantasy': 202, 'Mystery': 197, 'Science Fiction (Aliens) ': 181, 'Thriller': 135, 'Adult Fiction': 125}",https://www.goodreads.com/book/show/25733990-sleeping-giants
Close Liaisons,Close Liaisons,Anna Zaires,English,3.7,9058,830,2012,"{'Romance': 216, 'Science Fiction': 200, 'Science Fiction (Aliens) ': 178, 'Fantasy (Paranormal) ': 158, 'Adult Fiction (Erotica) ': 101, 'Fantasy': 98, 'Romance (Paranormal Romance) ': 86, 'Romance (Science Fiction Romance) ': 49, 'Paranormal (Vampires) ': 40, 'Adult': 38}",https://www.goodreads.com/book/show/17608853-close-liaisons
Venomous,B00RG0IGH6,Penelope Fletcher,English,3.92,5541,593,2014,"{'Science Fiction (Aliens) ': 177, 'Science Fiction': 173, 'Romance': 121, 'Erotica (Menage) ': 94, 'Adult Fiction (Erotica) ': 79, 'Polyamorous (Reverse Harem) ': 66, 'Fantasy (Paranormal) ': 52, 'Romance (Science Fiction Romance) ': 43, 'Fantasy': 37, 'Space': 21}",https://www.goodreads.com/book/show/24081930-venomous
The Revenge of Seven,The Revenge of Seven,Pittacus Lore,English,4.27,41848,2849,2014,"{'Young Adult': 583, 'Fantasy': 415, 'Science Fiction': 408, 'Science Fiction (Aliens) ': 175, 'Fiction': 162, 'Adventure': 76, 'Fantasy (Paranormal) ': 67, 'Romance': 50, 'Young Adult (Teen) ': 44, 'Audiobook': 43}",https://www.goodreads.com/book/show/19346451-the-revenge-of-seven
Cress,Cress,Marissa Meyer,English,4.42,287656,27145,2014,"{'Young Adult': 6109, 'Fantasy': 5838, 'Science Fiction': 3777, 'Romance': 2237, 'Retellings': 1761, 'Science Fiction (Dystopia) ': 1670, 'Fiction': 1100, 'Fantasy (Fairy Tales) ': 933, 'Audiobook': 676, 'Adventure': 583}",https://www.goodreads.com/book/show/13206828-cress
The Darkest Star,The Darkest Star,Jennifer L. Armentrout,English,4.22,13831,2210,2018,"{'Young Adult': 376, 'Fantasy': 346, 'Romance': 282, 'Fantasy (Paranormal) ': 207, 'Science Fiction (Aliens) ': 171, 'Science Fiction': 154, 'Romance (Paranormal Romance) ': 70, 'Fantasy (Urban Fantasy) ': 44, 'Fiction': 43, 'Young Adult (Young Adult Fantasy) ': 40}",https://www.goodreads.com/book/show/34221193-the-darkest-star
Invaded,Invaded,Melissa Landers,English,3.94,6997,992,2015,"{'Young Adult': 266, 'Science Fiction': 233, 'Romance': 199, 'Science Fiction (Aliens) ': 171, 'Fantasy': 86, 'Fantasy (Paranormal) ': 45, 'Space': 23, 'Science Fiction (Dystopia) ': 23, 'Fiction': 22, 'Young Adult (Teen) ': 19}",https://www.goodreads.com/book/show/17316770-invaded
Hunted,B004YQCGLW,Evangeline Anderson,English,3.98,9599,517,2011,"{'Romance': 229, 'Science Fiction': 197, 'Science Fiction (Aliens) ': 168, 'Fantasy (Paranormal) ': 123, 'Romance (Paranormal Romance) ': 99, 'Adult Fiction (Erotica) ': 81, 'Romance (Science Fiction Romance) ': 71, 'Fantasy': 69, 'Adult': 42, 'Paranormal (Vampires) ': 36}",https://www.goodreads.com/book/show/11273356-hunted
Abducting Abby,B007ODD5NK,S.E. Smith,English,3.84,7772,501,2011,"{'Science Fiction (Aliens) ': 167, 'Romance': 162, 'Science Fiction': 141, 'Fantasy (Dragons) ': 141, 'Fantasy (Paranormal) ': 102, 'Fantasy': 94, 'Paranormal (Shapeshifters) ': 62, 'Romance (Science Fiction Romance) ': 62, 'Romance (Paranormal Romance) ': 56, 'Adult Fiction (Erotica) ': 45}",https://www.goodreads.com/book/show/13646525-abducting-abby
Barbarian's Mate,Barbarian’s Mate,Ruby Dixon,English,4.04,6468,523,2016,"{'Romance': 206, 'Science Fiction': 164, 'Science Fiction (Aliens) ': 164, 'Fantasy (Paranormal) ': 53, 'Fantasy': 52, 'Romance (Science Fiction Romance) ': 52, 'Adult Fiction (Erotica) ': 50, 'Adult': 40, 'Romance (Paranormal Romance) ': 40, 'Audiobook': 21}",https://www.goodreads.com/book/show/29623967-barbarian-s-mate
Speaker for the Dead,Speaker for the Dead,Orson Scott Card,English,4.07,229858,7925,1986,"{'Science Fiction': 5471, 'Fiction': 2095, 'Fantasy': 655, 'Science Fiction Fantasy': 548, 'Young Adult': 394, 'Audiobook': 199, 'Space': 164, 'Science Fiction (Aliens) ': 163, 'Novels': 133, 'Space (Space Opera) ': 121}",https://www.goodreads.com/book/show/7967.Speaker_for_the_Dead
Kidnapping Casey,"Kidnapping Casey (Zorn Warriors, #2)",Laurann Dohner,English,3.82,7864,292,2010,"{'Science Fiction (Aliens) ': 161, 'Science Fiction': 148, 'Romance': 147, 'Fantasy (Paranormal) ': 81, 'Romance (Paranormal Romance) ': 74, 'Adult Fiction (Erotica) ': 55, 'Romance (Science Fiction Romance) ': 53, 'Fantasy': 33, 'Adult': 32, 'Romance (Erotic Romance) ': 29}",https://www.goodreads.com/book/show/7801690-kidnapping-casey
Barbarian's Prize,Barbarian's Prize,Ruby Dixon,English,3.99,6287,489,2016,"{'Romance': 202, 'Science Fiction (Aliens) ': 160, 'Science Fiction': 146, 'Adult Fiction (Erotica) ': 57, 'Romance (Science Fiction Romance) ': 55, 'Fantasy (Paranormal) ': 46, 'Romance (Paranormal Romance) ': 44, 'Fantasy': 40, 'Adult': 34, 'Audiobook': 21}",https://www.goodreads.com/book/show/28096224-barbarian-s-prize
"Saga, Vol. 1","Saga, Volume One",Brian K. Vaughan,English,4.18,263153,13517,2012,"{'Sequential Art (Graphic Novels) ': 8173, 'Sequential Art (Comics) ': 6062, 'Fantasy': 3859, 'Science Fiction': 2373, 'Fiction': 1067, 'Graphic Novels Comics': 904, 'Adult': 617, 'Romance': 507, 'Comics (Comic Book) ': 455, 'Adventure': 360}",https://www.goodreads.com/book/show/15704307-saga-vol-1
Binti,Binti,Nnedi Okorafor,English,3.92,50976,7545,2015,"{'Science Fiction': 2686, 'Fiction': 1144, 'Fantasy': 866, 'Novella': 675, 'Young Adult': 360, 'Short Stories': 343, 'Audiobook': 283, 'Science Fiction Fantasy': 233, 'Adult': 176, 'Science Fiction (Aliens) ': 157}",https://www.goodreads.com/book/show/25667918-binti
Armada,Armada,Ernest Cline,English,3.54,102732,13248,2015,"{'Science Fiction': 2309, 'Fiction': 1117, 'Young Adult': 537, 'Audiobook': 489, 'Fantasy': 331, 'Science Fiction Fantasy': 218, 'Adventure': 180, 'Science Fiction (Aliens) ': 154, 'Adult': 119, 'Space': 89}",https://www.goodreads.com/book/show/16278318-armada
The Knife of Never Letting Go,The Knife of Never Letting Go,Patrick Ness,English,3.97,160252,17169,2008,"{'Young Adult': 4497, 'Science Fiction (Dystopia) ': 2271, 'Science Fiction': 2164, 'Fantasy': 1968, 'Fiction': 1345, 'Adventure': 522, 'Young Adult (Teen) ': 282, 'Audiobook': 229, 'Thriller': 206, 'Apocalyptic (Post Apocalyptic) ': 192}",https://www.goodreads.com/book/show/20758104-the-knife-of-never-letting-go
Childhood's End,Childhood's End,Arthur C. Clarke,English,4.1,134882,5545,1953,"{'Science Fiction': 4184, 'Fiction': 1509, 'Classics': 550, 'Science Fiction Fantasy': 249, 'Science Fiction (Dystopia) ': 153, 'Science Fiction (Aliens) ': 152, 'Fantasy': 141, 'Novels': 114, 'Audiobook': 112, 'Speculative Fiction': 106}",https://www.goodreads.com/book/show/414999.Childhood_s_End
Barbarian's Touch,Barbarian's Touch,Ruby Dixon,English,4.11,5439,458,2016,"{'Romance': 161, 'Science Fiction (Aliens) ': 146, 'Science Fiction': 122, 'Romance (Science Fiction Romance) ': 46, 'Adult Fiction (Erotica) ': 43, 'Fantasy': 39, 'Romance (Paranormal Romance) ': 37, 'Adult': 34, 'Fantasy (Paranormal) ': 33, 'Audiobook': 12}",https://www.goodreads.com/book/show/30524238-barbarian-s-touch
Sweep in Peace,Sweep in Peace,Ilona Andrews,English,4.3,28087,2038,2015,"{'Fantasy': 1146, 'Fantasy (Urban Fantasy) ': 1130, 'Fantasy (Paranormal) ': 499, 'Paranormal (Vampires) ': 366, 'Fantasy (Magic) ': 353, 'Science Fiction': 343, 'Romance': 290, 'Science Fiction (Aliens) ': 143, 'Shapeshifters (Werewolves) ': 121, 'Paranormal (Shapeshifters) ': 120}",https://www.goodreads.com/book/show/19504964-sweep-in-peace
"Claimings, Tails, and Other Alien Artifacts","Claimings, Tails, and Other Alien Artifacts",Lyn Gala,English,4.03,3283,530,2013,"{'Romance (M M Romance) ': 312, 'Science Fiction': 259, 'Erotica (BDSM) ': 195, 'Science Fiction (Aliens) ': 143, 'Romance': 142, 'Fantasy': 71, 'War (Military Fiction) ': 47, 'Adult Fiction (Erotica) ': 45, 'LGBT': 39, 'Fantasy (Paranormal) ': 32}",https://www.goodreads.com/book/show/38617807-claimings-tails-and-other-alien-artifacts
Touched by an Alien,Touched by an Alien,Gini Koch,English,3.69,5283,869,2010,"{'Science Fiction': 291, 'Romance': 257, 'Fantasy (Urban Fantasy) ': 155, 'Science Fiction (Aliens) ': 142, 'Fantasy': 88, 'Fantasy (Paranormal) ': 84, 'Romance (Paranormal Romance) ': 68, 'Fiction': 59, 'Humor': 46, 'Romance (Science Fiction Romance) ': 39}",https://www.goodreads.com/book/show/7283762-touched-by-an-alien
Dawn,Dawn,Octavia E. Butler,English,4.13,30955,2995,1987,"{'Science Fiction': 1624, 'Fiction': 742, 'Fantasy': 262, 'Science Fiction Fantasy': 169, 'Science Fiction (Aliens) ': 138, 'Apocalyptic (Post Apocalyptic) ': 116, 'Speculative Fiction': 102, 'Science Fiction (Dystopia) ': 100, 'Horror': 86, 'Adult': 63}",https://www.goodreads.com/book/show/60929.Dawn
The Restaurant at the End of the Universe,The Restaurant at the End of the Universe,Douglas Adams,English,4.21,238543,6014,1980,"{'Science Fiction': 5675, 'Fiction': 3202, 'Humor': 2436, 'Fantasy': 1215, 'Humor (Comedy) ': 828, 'Classics': 512, 'Science Fiction Fantasy': 510, 'Audiobook': 353, 'Adventure': 303, 'Novels': 241}",https://www.goodreads.com/book/show/8695.The_Restaurant_at_the_End_of_the_Universe
Sought,B005BT583Y,Evangeline Anderson,English,3.92,8135,441,2011,"{'Romance': 195, 'Science Fiction': 155, 'Science Fiction (Aliens) ': 134, 'Adult Fiction (Erotica) ': 127, 'Erotica (Menage) ': 125, 'Fantasy (Paranormal) ': 94, 'Romance (Science Fiction Romance) ': 70, 'Romance (Paranormal Romance) ': 66, 'Fantasy': 56, 'Adult': 35}",https://www.goodreads.com/book/show/11995467-sought
The Humans,The Humans,Matt Haig,English,4.09,58198,7278,2013,"{'Science Fiction': 1190, 'Fiction': 1127, 'Fantasy': 313, 'Humor': 285, 'Contemporary': 203, 'Audiobook': 170, 'Adult': 149, 'Science Fiction (Aliens) ': 133, 'Adult Fiction': 84, 'Novels': 81}",https://www.goodreads.com/book/show/16130537-the-humans
